name,amount
Jeffrey Williams,8659.14
Jamie Morgan,18293.49
Kristopher Banks,17446.38
Raymond Murray,89651.47
Alyssa Rodriguez,58572.07
Anthony Osborne,97894.99
William Luna,82115.98
Kathy Jimenez,27921.51
Christopher Copeland,45098.08
Adam Walters,11799.31
Kimberly Anderson,12982.78
Lauren White,26649.41
Lindsay Nelson,55556.24
Leonard Nguyen,8790.97
Brandon Sharp,49361.61
Theresa Nelson,87301.56
Cody Ross,39380.69
Annette Rodriguez,62673.15
Daniel Santiago,86358.19
Sandra Garner,67202.09
Jillian Roy,12320.63
Joy Weaver,49299.62
Austin Cabrera,28590.56
Michele Montgomery,10063.24
Brian Hernandez,90611.02
Hunter Martinez,26997.11
Bradley Ford,90790.09
Nathan Newman,7534.74
Katie Payne,22178.09
Sarah James,39319.6
Justin Newman,14406.06
Megan Lang,471.44
Gloria Medina,9826.44
Stephen Wright,97430.99
Dr. Marcus Grant,26499.21
Thomas Hopkins,63902.41
Amanda Peck,74194.54
Megan Mcdonald,1306.95
John Price,68186.5
James Griffin,51687.93
James Hall,67314.92
Carlos Snyder,62942.55
Lori Johns,11180.63
Jeffrey Lawrence,68374.02
Joel Ayala,33001.17
Stephanie Johnson,30647.93
Richard Snyder,96401.18
Kelly Reyes,79091.1
Sierra Lane,11170.6
John Wilson,73838.83
David Smith,17885.61
Victor Burke,58655.63
Margaret Perez,57058.01
Laura Ali,94349.58
Jordan Hayes,31030.25
Anthony Gardner,84149.66
Diana Smith,74836.19
Matthew Romero,31866.46
Daniel Payne,52343.84
Joel Perez,10470.17
Brenda Steele,59771.93
Kevin Krause,40448.93
Aaron Hernandez,34153.1
Dana Roberts,94506.64
Henry Thompson,48895.19
Taylor Jackson,77787.16
Edwin Taylor,34814.65
Gregory Howard,25553.88
Timothy Gould,46040.68
Tanya Warren,67553.47
Richard Marquez,68332.67
Joshua Howard,59141.02
Steven Barrera,76296.89
Rose Allen,47924.91
Felicia Dougherty,39453.3
Charles Mcdonald,82133.34
Matthew Smith,77983.51
Ashley Flores,16432.24
Debra Ryan,45078.69
Samuel Garcia,85057.07
Bernard Lowery,50193.68
Tiffany Williams,50594.21
Holly Dunlap,33434.46
Nicole Peterson,19498.71
Brittany Stevens,25858.49
Daniel Russell,42844.0
Andrea Marsh,71213.84
Ashley Gilmore,31385.28
Chad Patton,12778.7
Ashley Cunningham,31446.58
Kevin Sanders,77498.26
Daniel Peck,40840.19
Thomas Schroeder,95875.63
Steven Cohen,16288.31
Kimberly Simmons,52499.37
Casey Vasquez,89279.5
Karen Harris,30163.2
Edward Greer,74079.6
Robert Rodriguez,64289.19
Daniel Bishop,27364.06
Paul Nunez,67235.81
Brittany Figueroa,51145.98
Roger Moore,69984.43
Nicholas Brooks,41350.89
Kimberly Guerrero,82750.05
Christopher Mejia,2962.46
Jessica Vargas,65040.37
Thomas Young,17329.41
Tom Singh,46394.04
Bob Owens,75929.86
Eric Roberts,45146.46
Ryan Cook,68714.39
Christopher Morales,21886.47
Benjamin Duncan,42361.3
Donald Reynolds,49263.93
Daniel Robinson,11987.43
Travis Reyes,1171.78
Timothy Beard,51642.27
Vanessa Perez,58536.93
Angela Webb,50541.62
Terry Gonzalez,11144.71
Jennifer Dixon,59698.85
Amanda Kaiser,81064.1
Matthew Leon,33901.26
Sean Walsh,62436.76
Nicholas Parker,39097.89
Jennifer Young,91814.69
Molly Walker,68065.52
Erika Hicks,27871.73
Jesse Daniels,73249.18
Robert Cortez,8798.55
Tina Davis,93778.83
Maureen Doyle,73199.98
Nina Oliver,57270.07
Maria Schultz,92625.54
David Hobbs,43484.06
Katherine Harmon,82760.04
Travis Lee,34319.27
Denise Sullivan,74173.02
Traci Parsons,44016.92
Rebecca Reynolds,73892.76
Sean Blake,83518.02
Ashley Rose,94084.81
Ashley Smith,55708.42
James Gardner,61049.92
Eric Ortega,27242.95
Cynthia Medina,98314.79
Mary Brennan,45905.26
Ricardo Wells,47524.84
Zachary Espinoza,88085.13
Natalie Gray,70036.79
Angela Alexander,70680.23
Jordan Jenkins,24094.67
Margaret Beard,33413.75
Thomas Pollard,34475.89
Christopher Gomez,71536.17
Laura Hines,62427.19
Elizabeth Kane,87196.63
Mark Hays,81941.65
Paul Wheeler,34050.82
David Guerra,27532.34
Sean Clark,9549.36
Hannah Lee,87123.22
Jesus Lane,91139.28
Robert Oneal,17958.0
William Rice,17322.7
Lauren Green,70571.97
Travis Sanchez,1308.64
Brian Smith,9594.87
Victor George,15153.07
Wendy Rodriguez,77904.77
Jacqueline Harrison,16361.33
Mrs. Erica Hahn,56286.29
Justin Andrews,73271.46
Brian Johnson,37260.7
Megan Walker,28683.84
Jacob Moody,44909.46
Melanie Miller,31104.23
Andrea Long,8548.92
Natasha Gray,74948.8
Paul Flores,5699.75
William Moore,66113.23
Andrea Nicholson,5185.99
Megan Harrison,1222.74
Daniel Hill,51448.83
Jack West,99770.04
Roy Moon,9710.92
Timothy Singleton,3168.34
Tyler Baker,37619.84
Diane Brooks,37230.48
Jasmine Torres,40511.99
Gabrielle Kelly,68903.55
Dr. Michelle Estrada,52532.37
Alejandro Sutton,91124.61
Julia Campbell,50775.4
Steven Becker,40139.85
Sean Smith,27971.73
Juan Castro,81462.82
Michael Stephenson,81177.53
Alexis Williams,8003.24
Michael Gutierrez,52355.42
Thomas Young,5785.98
Pamela Davis,21891.74
Kathryn Gray,13399.1
Kimberly Ortiz,79599.84
Patricia Rivera,87516.72
Patricia Ashley,28399.37
Tracy Morales,45569.82
Katie Figueroa,15145.89
Aaron Jackson,84043.24
Michael Travis,18837.21
Sarah Mcmillan,88749.65
Jessica Wright PhD,65846.36
Jose Robles,75227.54
Christopher Miller,40277.82
Amy Mitchell,34672.61
Ashley Sparks,68561.25
Philip Knox,27481.57
Rebecca Sanchez,88072.05
Diana Moore,86953.47
Michelle Davis,96213.17
Dylan Mcdonald,68716.33
Daniel Morales,71254.28
Timothy Nunez,53747.06
Courtney Jefferson,81294.01
William Harrington,88180.73
Christopher Butler,8391.17
Wyatt Hartman,64242.95
Jennifer Norris,87354.29
Crystal Harvey,46603.49
Jennifer Smith,35710.85
Melissa Manning,12246.11
Melanie Mcmahon,10480.67
Christine Fuller,11610.78
Mark Carr,94552.81
Theresa Patterson,40369.63
Anthony Gutierrez,17186.97
Kayla Herring,67115.97
Mariah Franco,23162.28
Victoria Griffith,82513.8
Regina Harvey,42314.09
Mark Hall,70535.86
Elizabeth Brooks,45972.09
Timothy Harris,77960.27
Monica Reed,6304.78
Jason Martin,85609.81
Nicholas Perry,97390.45
Joseph Stone,35719.83
Kaitlyn Mckay,97700.39
Sarah Jones,85407.13
Alejandro Weber,25000.33
Michael Wagner,79231.27
Danielle Francis,32367.53
Dawn Brown,59400.44
Mindy Wright,39040.17
Francisco Schultz,66540.96
Sonya Cochran,29084.54
Ashley Andrews,53224.47
Elizabeth Tate,74654.47
Christine Bennett,73612.59
Victor Hawkins,68398.0
Victoria Hayes,84337.42
Sabrina Parker,71371.98
Jacob Richardson,21246.21
John Long,33527.24
Crystal Sullivan,60360.36
Cynthia Robinson,2055.1
Michael Foster,60472.97
Jason Mann,90083.04
Patrick Phillips,30606.5
Jennifer Jones,33749.72
Matthew Garcia,15760.63
Timothy Small,47679.17
George Oliver,59523.31
Michael Rios,72158.5
Danny Levine,11886.1
Mary Simpson,34799.81
Lance Moore,68012.34
Michael Williams,98460.07
Jacqueline Bonilla,19048.47
Philip Howard,87826.73
Eric Henderson,16712.09
Cassandra Hansen,3153.85
Carolyn Bradley,95460.97
Megan Bray,38961.91
David Adams,14057.64
Mary Soto,62446.79
Patty Howard,88628.81
Michael Lopez,10839.71
Claire Estrada,76468.75
Monique Craig,3177.44
Pamela Guzman DDS,90550.0
Christine Boyd,15057.5
Brittany Bell,20742.48
Michaela Nelson,19797.55
William Mcconnell,78781.71
Jessica Mills,4262.49
Tiffany Olson,61657.59
Christine Solomon,11829.05
Danielle Rivera,70526.4
Virginia Ramos,11497.52
Kevin Powell,10669.41
Michael Grant,57304.43
Scott Martin,91253.6
Catherine Nicholson,76689.86
Thomas Shields,45720.65
Rebecca Robinson,13609.26
Austin Spears,49725.05
Diana Dawson,88022.65
Joseph Pitts,17547.48
John Richardson,60397.93
Yesenia Sexton,17312.19
Tiffany Thompson,55230.86
Lauren Edwards,88610.68
Timothy Delacruz,76089.68
Monica Moore,14471.02
Kayla Kennedy,265.29
Michael Patterson,21268.17
Betty Howe,10752.45
Carolyn Schmidt,77677.19
Sharon Bush,42055.84
Brittany Deleon,11745.52
Susan Roth,67235.85
Kimberly Leblanc,76708.41
Vickie Barron,27304.55
Cory Sanchez,29025.6
Maria Vargas,98887.93
Michael Rodriguez,45078.53
Wendy Guerra,48133.59
Stephanie Moore DDS,47342.47
Jennifer Ward,34294.46
Amanda Jordan MD,93027.21
Austin Smith,62604.52
Tiffany Henry,60745.11
Joseph Fields,97542.71
Ronald King,15898.71
Chad Knight,58918.22
Mark Tucker,43012.9
William Copeland,35294.38
Bryan Sutton,30285.84
Carlos Walker,86391.41
Jacqueline Obrien,43570.19
Roger Best,5130.61
Luis Johnson,93467.89
Wyatt Torres,82320.96
Sydney Valdez,7157.11
Karen Lin,92414.11
Dr. Marie Hanson,51521.82
Timothy Watson,17186.06
Makayla Vargas,71430.16
Terry Baker,48364.7
Jason Murphy,22843.26
Margaret Butler,96180.27
Pamela Smith,92348.32
Mrs. Rebecca Rojas,26135.85
Shannon Herrera,46786.02
Michael Hansen,79498.07
Steven Bauer,32555.14
Stanley Hart,41912.89
Damon Griffith,58550.38
Thomas Reid,31290.17
Patrick Brown,26717.02
Kenneth Boyle,76599.61
Louis Gonzalez,93062.33
Kevin Stanley,60808.72
Charles Gomez,20813.48
Samuel Harris,55288.33
Donna Carpenter,43107.29
John Knight,6035.17
Timothy Martinez,8640.65
Benjamin Mata,4739.32
Carolyn Lee,41810.92
Daniel Tran,36895.88
Joe Wagner,85854.18
Brandon Costa,55926.23
Guy Castillo,63974.01
Michael Aguilar,57659.85
Sabrina Rodriguez,41271.49
Ronald Cook,59832.08
Kimberly Richards,41130.04
Cynthia Miller,95082.59
Christopher Bruce,95749.12
Amanda Richards,41583.2
Dr. Dana Bowers,77674.97
Joyce Crane,96445.38
Karen Sullivan,87894.08
Amber Oliver,60834.56
Laura Rodriguez,60931.45
Cody Rodriguez,61748.48
Kenneth Johnson,44364.73
Jonathan Schaefer,19263.89
Marie Underwood,88513.92
Tammy Clark,48809.11
Eric Turner,76052.18
Bryan Davis,9259.41
Jason Diaz,2572.48
Donna Miller,68664.45
Mark Miller,63779.61
Kristen Perez,89373.34
Lisa Morgan,83729.95
Angel Lopez,95073.95
Julia Perez,7070.49
David Walsh,15411.72
Mark Pope,74950.15
Darin Page,83851.91
James Andrews,47090.82
Jacob Lamb,58609.94
Gina Lopez,19333.32
Michael Curtis,76066.1
Andrea Roy,67651.42
Dennis Avila,84261.38
Tammy Brennan,63205.61
Karla Ellis DDS,47533.31
Grace Villanueva,6994.1
Michael Brewer,42572.91
Susan Santos,13431.98
Brian Brennan,83376.52
Laura Weber,63220.01
Raymond Johnson,17435.0
Aaron Baker,89326.9
Nicole Robinson,46092.94
Katrina Cox,11635.44
Cheryl Coffey,40377.09
Charles Spencer,18708.82
Anita Flores,67364.09
Lisa Vincent,88209.53
Barbara Rasmussen,29631.36
Yvonne Pena,48618.13
Veronica Espinoza,35199.84
Megan White,43134.14
Brenda Ortiz,39099.44
Erica Adams,45926.11
Christopher Mcbride,68664.78
Amy Bailey,58792.0
Jeffery Wade,17487.64
Darrell Frey,26569.08
Michaela Chen,8389.74
Veronica Barr,83534.09
Alexander Bishop,95612.76
Brittany Velasquez,83878.16
Tina Stevenson,37489.32
Michael Wilkins,48513.95
Theresa Turner,71819.4
Robert Patterson,57598.84
Thomas Brown,35160.19
Cynthia Turner,13666.03
Jennifer Rosario,95435.47
Andrea Crosby,96913.98
Wesley Hernandez,55521.17
Taylor Campbell,84437.24
Laura Robertson,20186.43
Sean Keller,81806.77
Mr. Charles Walker,66147.35
Gina Potts,66182.8
Sarah Rice,65372.04
Lindsay Peters,61683.9
Eric Martin,19030.25
Charles Swanson,46821.13
Melissa Rich,74327.96
Melanie Lopez,78216.18
Kevin Fisher,96280.92
Mr. Randy Baker DDS,64330.35
Robin Harris,12336.58
Patricia Wilson,39852.87
Jennifer Fitzgerald,51332.76
Scott Roberts,42613.58
Jim Walker,47215.6
Mrs. Carla Johnson,98741.48
Carol Beltran,31631.89
Brittany Curry,35669.76
Phillip Brown,72368.52
Ronald Smith,67191.27
Andrew Miller,24127.34
Caroline Carpenter,46433.14
Donald Jacobs,33367.97
Aaron Black,30455.16
Donna Cox,49774.8
Mary Jones,10902.28
Natalie Scott,19560.35
Alexis Torres,47064.75
Dr. Austin Garrett,62327.9
Maurice Sanders,62963.64
Nathan Thompson,7128.62
Scott Lewis,26079.34
Tyler Thompson,55862.19
Melanie Peterson,59495.26
Angela Ruiz,16117.26
Robert Clark,89759.12
Chelsea Crane,63258.66
Robert Mcdowell,43679.1
Bruce Wilson,34006.56
Sabrina Phelps,41868.09
James Henry,24436.41
Theresa Jackson,39184.14
Amanda Rivera,77917.79
Chloe Banks,12016.21
Brian Young,54440.0
Bethany Davis,74954.01
James Matthews,15059.77
Scott Duncan,18061.19
Melanie Baker,4405.85
Logan Harris,23848.66
Todd Thomas,44241.59
Daniel Lee,50858.37
Brian Crawford,59264.36
Christopher Rice,25933.79
Ashley Jacobs,46117.97
David Cook,17093.83
Tracey Cruz,42936.98
Melissa Ibarra,39962.81
Dana Carlson,8787.56
Cheryl Miller,33808.28
Kenneth Holloway,77729.5
Martin Ruiz,25530.54
Carrie Rivera,24403.05
John Foster,87410.2
Kevin Williams,21869.92
Beverly Waters,79918.26
Melissa Hughes,7295.4
Julia Duncan,34827.01
Rebecca Hopkins,80525.64
Anthony Walker,1501.76
Cindy Ruiz,59740.1
Tommy Whitaker,95332.45
Luis Russell,72830.83
Matthew Turner,67032.83
Richard Valdez,48040.32
Marie Rose,12651.77
Nicholas Palmer,1527.39
Troy Jacobs,21608.93
James Cook,596.96
Tammy Sanders,82529.19
Christopher Kent,6165.73
Samantha Lee,74134.87
Aaron Warren,45706.41
Courtney Mitchell,55473.05
John Thomas,36801.68
Joseph Miller,48726.16
William Mora,60098.37
Natasha Ramirez,35936.3
Thomas Stephens,43637.64
Rebecca Davis,38808.96
Ryan Rodriguez,75034.48
Mariah Stewart,96679.37
Tammy Hale,70935.01
Lindsay Adams,90087.65
Jeffery Brown,86169.11
Joseph Castro,66782.59
Kevin Scott,39992.67
Victoria Cummings,27276.4
Cindy Becker,56439.17
Melanie Simmons,45129.59
Ann Rivera,42393.57
Michael Collins,92204.63
Alisha Arnold,98730.47
Samuel Reilly,1163.46
Dr. Susan Higgins,36318.18
Brian Gray,10173.01
Richard Poole,96901.61
Misty Hurst,49364.82
Alyssa Wilson,25986.7
James Jefferson,72228.94
Jose Washington,73209.26
Michelle Simon,84355.22
Thomas Sanders,68672.56
Jay Gutierrez,89682.27
Dillon Williams,46124.11
Christopher Lozano,72432.0
Daniel Cherry,53174.31
Courtney Strong,68849.37
Louis Reyes,24331.9
Alexandra Phillips,64712.29
Jeffery Stevens,61693.15
Kathryn Fisher,82895.46
Lynn Coleman,16471.13
Corey Lucas,57912.45
Austin Brown,32291.79
Henry White,7436.42
Cassandra Jacobson,62922.13
Katie Roman,63146.43
Timothy Henderson,79672.15
Kurt Schmidt,63418.8
Charles Harrison,38610.64
Kathryn Taylor,89817.27
Corey Miles,14478.06
Steve Wade,65496.87
Patrick Blair,26707.6
Jane Gonzales,38682.37
Louis Garcia,61196.36
Rachael Holloway,55510.54
Donna Carter,76084.76
Joshua Baker MD,55216.53
Brian Jackson,4094.69
Patricia Wilson,10435.22
Kevin Lopez,12031.74
Jason Williams,29900.69
Jonathan Summers,36115.7
Jennifer West,81922.54
Daniel Wilson DVM,43083.76
Michael Blankenship,41828.5
Wendy Price,75776.94
Cynthia Clark,46309.93
Caitlin Daniels,37889.91
Terry Hicks,2166.92
Daniel Estrada,52365.01
Victoria Casey,22600.0
Janet Murillo,56392.28
Mitchell Johnston,88032.17
Lisa Stout,73421.98
Sandra Hurst,69120.45
Morgan Adams,55068.03
Hannah Johnson,15462.07
Dawn Williams,43155.25
Michael Taylor,72519.07
Angela Smith,13595.8
Lindsay Washington,90176.55
Brian Johnson,4142.49
Mario Lamb,17505.19
Sandra Clark,13431.32
Jeffrey Williams,88965.21
Justin Mendez,93243.54
Stephanie Barker,21773.5
Linda Nguyen,60859.55
Earl White,45650.84
Kevin Hunter,26848.84
Nicole Martin,17299.09
Kristen Cain,67431.69
Darryl Collins,47947.0
Deborah Crawford,55405.8
John Andrews,54874.77
Nicholas Pacheco,47646.97
Susan Jensen,5534.52
Megan Velez,3141.43
Brandon Burgess,60998.3
Joel Nichols,62065.49
Kelsey Martin,14340.72
Sue Palmer,93625.05
Jennifer Ford DDS,89963.79
Stephanie Hart,24549.0
Madison Harris,63385.44
Joseph Davis,12930.33
Ronald Wright,29741.81
Barry Scott,97355.37
Eric Levine,29029.88
Stanley Jones,89963.18
Sarah Barker,91633.28
Reginald Smith,11562.0
Deborah Harrison,16100.63
Sarah Wilson,16366.94
Frank Owens,81793.13
Ethan Anderson,23228.99
Savannah Wright DDS,86484.33
Rebecca Morales,20616.77
Marc Gilbert,70215.57
Mrs. Deanna Galvan,75785.18
Jay Watts,12715.73
Heather Rivera,51336.61
Benjamin Wilson,80327.64
David Holmes,59275.76
Robert Mejia,48520.82
Zachary Johnson,46468.46
David Sullivan,16827.17
Sarah Garcia,95829.52
Tracy Montgomery,63448.09
Amy Dalton,98959.43
Ebony Gallagher,61129.62
Lindsey Roberts,14219.24
Timothy Thompson,44889.93
Raymond Dominguez,91618.32
Jennifer Flores,17434.97
Bruce Woods,83037.08
Elizabeth Adkins,79675.44
Nicole Sloan,45096.38
Robert Nguyen,10974.95
Michael Gregory,4738.25
Diana Novak,21206.77
Michael Rush,52846.61
Jennifer Munoz,25320.48
Tina Lawrence,66553.01
Pamela Christian,30981.1
David Ramirez,71369.71
Richard Adkins,12632.67
Frank Rhodes,15995.29
Dakota Hart,70211.28
Robert Rose,83521.35
Jacqueline Becker,94322.25
Erica Nichols,26810.68
James Griffin,87484.54
Alicia Kemp,77953.6
Lisa Hicks,58251.76
Aaron Kelley,80663.53
Robert Curry,86730.48
Janet Gibson,40130.91
Mrs. Jennifer Mejia,28487.79
Jacqueline Wood,29117.33
Danielle Elliott,8244.73
Andrea Briggs,26294.72
Nicole Weaver,93210.87
Julie Hammond,55248.9
Linda Fisher,81312.55
Ashley Hughes,80983.64
Christopher Nguyen,3526.32
Christy Powell,78846.03
Laura Wilson,9739.78
Ronald Bender,93938.88
Dorothy Ramirez,82916.03
Ann Johnson,99320.42
Kristen Johnson,57220.61
Jason Horton,43610.08
Eric Fletcher,45533.19
Evan Patterson,46481.79
Michael Alexander,84581.43
Jacob Perez,61644.29
Marie Gregory,98077.21
Brittany Coleman,65839.83
Kimberly Hamilton,2339.13
Albert Lewis,86523.83
Jorge Frazier,94015.61
Raymond Simmons,78652.91
Sara Bowen,5931.64
Craig Jones,10625.91
Victoria Peck,88680.04
Christopher Wells,82918.25
Robert Ibarra,13143.25
Jacqueline Larsen,36829.46
Deborah Holmes,16824.76
Janet Howell,46819.33
Martin Cummings,13807.58
Jacqueline Hernandez,75526.28
Tammy Johnson,1927.44
Gary Wright,46374.26
Krista Mueller,56902.86
Shawna Johnson,74613.94
Charles Flores,16871.9
John Carter,6179.32
Michelle Cunningham,49941.58
Chelsey Johnson,6640.91
Sean Thomas,81312.1
Cindy Burch,57887.28
Linda Reynolds,46718.96
Michael Miller,70982.14
James Proctor,2814.7
Jason Keller,23943.78
Eileen Diaz,82166.35
Heather Joseph,57289.37
Laura Johnson,20968.46
Vanessa Rose,63017.93
Sonia Nelson,28132.54
Ronnie Elliott,657.56
Dustin Schultz,4591.14
Tiffany Hood,73216.67
Richard Myers,79735.17
Jenna Cox,30193.67
Emily Frye,4157.87
Elizabeth Bryant,12449.06
Eric Webb DDS,96329.56
Leah Thomas,93303.16
Lindsay Strickland,8004.58
Gina Pearson,77091.12
Donald Faulkner,43881.22
Mary Simon,73848.8
Kristi Rivera,49836.96
Kayla Jones,38116.64
Matthew Johnson,15890.57
Victoria Robertson,29836.05
Stephanie Hahn,31222.24
Kevin James,39850.62
Angela Turner,25561.65
Sherry Soto,50666.78
Sarah Figueroa,93498.4
Michael Richards,86559.04
Brandy Rice,83403.19
Darryl Jones,73912.76
Kristi Garner,94377.97
Theresa Jones,7419.06
Larry Lynch,41738.29
Shelly Manning,96495.15
Richard Nunez,27984.65
Amy Miller,88021.84
Sergio Jackson,61402.24
Mitchell Butler,36841.5
John Hays,88098.55
Melvin Lee,41719.6
Jessica Taylor,53516.64
Kim Myers,34316.44
Michael Guerra,89231.33
Chelsea Frazier,10364.31
Daniel Castillo,30917.34
Roger Gallagher,72556.3
Erica Bailey,59255.75
Megan Holmes,35577.2
Crystal Deleon,87873.82
Michael Santos,76244.36
Catherine Butler,42049.49
Stephanie Harper,851.61
Claire Nichols,23040.8
Amy Harrison,6237.85
Dustin Rodriguez,44287.2
Taylor Roberts,34906.81
Nicholas Boyd,39372.64
Paul Elliott,46514.73
Karen Perez,37977.18
Angela Dixon,86033.97
Joseph Wells,63884.76
Lori Dougherty,9737.69
Tina Delacruz,74369.6
Matthew Wiley,7187.61
Angela Taylor,69399.69
Teresa Williams,36170.51
Oscar Knight,57503.04
Karina Olson,51339.15
Vicki Faulkner,72332.24
Susan Wood,8627.21
Laura Bolton,71790.38
Brittney Dixon,94176.85
Rhonda Warner,52343.13
Chelsea Rogers,22047.87
Gina Underwood,86258.76
Rebecca Greene,68021.17
Kristin Williamson,54152.98
Dr. Teresa Mason,29237.04
James Kelley,28679.27
Michael Peterson,91332.9
Bryan Gray,17049.27
Jessica Blackwell,28873.01
Krista Alvarez,10454.74
Jeffrey Peck,75097.8
Michael Simon,88372.23
Katie Mosley,54356.44
Ashlee Dawson,46139.87
Jeremy Oconnor,9132.14
Carrie Gill,30294.44
Gina Poole,90761.09
Francisco Hughes,99685.44
Monica Winters,58614.14
Sarah Jackson,12230.4
Christine Galloway,49922.58
Gregory Chavez,20954.74
Laura Gonzales,17514.04
Tanya Owens,59789.9
Cassandra Rivas,74537.03
Mitchell Turner,50586.07
Melissa Jimenez,48410.81
Taylor Moore,21681.53
Jeremiah Rose,56358.93
Michelle Gutierrez,36513.72
Gordon Smith,45757.11
Laura Ramirez,57971.33
Christine Sanford,56407.19
Cameron Taylor,36600.57
Jessica Meyer,12667.09
Sherry Clark,79461.13
Stephen Martinez,45916.97
Joseph Casey,54339.81
Donna Smith,47883.94
Erin Gardner,93244.7
Frank Harris,93536.38
Louis Schmidt,12413.53
Jo Johnson,93996.86
Dana Greene,18156.96
Anthony Griffin,81089.68
Mary Smith,81791.11
Lori Farrell,2496.76
William Burch,48966.53
Christopher Ramirez PhD,54552.21
Andrea Johnson,39782.77
Ashley Smith,53268.92
Betty Gordon,48945.21
Jennifer Crawford,60735.13
Richard Davis,98801.69
Logan Ashley,41677.29
Anthony Wilson,36435.74
Marissa Bowen,86024.92
Jacqueline Malone,92733.44
Tonya Sharp,91390.29
Tonya Thornton,5498.72
Corey Edwards,18310.65
Andrew Davis,626.04
Marissa Dunn,12096.12
Lynn Watts,73178.96
Victoria Cooper,2059.34
Glenn Day,24281.56
Aaron Griffin,5429.63
Christie Perkins,90315.86
Samuel Thompson,29565.36
Matthew Franco,89131.26
Shari Sandoval,81341.44
Krystal Smith,11601.39
Kimberly Frey,96462.25
Kayla Harvey,37927.96
Allison Richardson,53087.5
Robert Anderson,27348.39
Lisa Gutierrez,59198.22
Daniel Kramer,47442.46
Deborah Lopez,76151.46
Thomas Flores,67528.77
Robert Moore,32688.62
Johnny Mason,14073.02
Ryan Short,12922.76
Hannah Chavez,20384.6
Charles Smith,58685.36
Adam Jarvis,64835.25
Charles Bradley,3686.59
Kathy Paul,23706.83
Casey Lee,9745.07
Samantha Ross,57774.05
Jesus Long,74498.93
Clifford Schmidt,1936.75
Michael Lewis,4440.52
Victoria Hurst,57862.86
Juan Taylor,53496.84
Brian Graham,28035.0
Daniel Foster,14200.89
Victoria Reed,16628.3
Mary Morgan,19773.05
Kelly Miller,31637.02
Gina Greene,76727.75
Tracey Morales,29656.44
Phillip Hancock,40689.0
Kimberly Washington,12880.28
Robert Kennedy,97617.85
Jessica Taylor,71682.36
Tammy Rivera,76775.64
Melissa Farley,98094.75
Ann Williams,29002.4
Brandon Stewart,31936.77
Kara Bradford,69422.97
Jacqueline Brewer,17128.17
Phillip Garrison,28748.62
Erica Pierce,70498.16
Erin Conrad,34153.96
Brittany Beard,45628.36
Christopher Wolf,21335.81
Cassandra Griffin,27098.26
Sharon Hill MD,32684.04
Catherine Brown,75466.56
Michael Woods,38036.09
Jared Castro,41128.97
Linda Lewis,98914.94
Jesse Romero,30740.95
Yolanda Adams,94171.91
Tara King,14012.43
Laura Ewing PhD,12374.49
Joseph Garza,76203.65
William Clark,80112.33
Morgan Wood,30771.83
Carl Payne,56935.4
Tabitha Palmer,48595.39
Kimberly Scott,50104.51
Joshua Caldwell,72909.82
Steven King,38782.14
Wayne Conley,18974.23
Sydney Lucas,10741.1
Kelly Sullivan,93378.38
Amy Jackson,57055.87
Brendan Berry,35434.96
Jay Lawson,78363.03
Lisa Johnson,86803.89
Jessica Stephenson,82406.37
Robert Parks,63719.28
Todd Smith,58215.43
Paul Vargas,70358.1
Laura Diaz DVM,5065.96
Stacy Thomas,68087.27
Deborah Austin,23654.7
Jennifer Brown,39175.46
Steven Castro,39763.19
Brent Walter,39501.03
Brenda Coffey,80609.1
Michael Tran,67141.07
Brian Ali,57178.66
Kristina Smith,85451.03
Elizabeth King,83785.31
Kenneth Deleon,55400.32
Jeffrey Davis,45332.18
Ralph Neal,37025.18
Jessica Morton,32018.8
Savannah Howe,42538.63
Dr. Douglas Sullivan MD,38765.77
Michelle Johnson,28200.25
Amy Williamson,19645.29
Bradley Hill,29066.95
Patricia Cantrell,46279.28
Jennifer Moore,78513.96
Robert Williamson,29112.49
Dana Reyes,90511.53
Thomas Martin,83372.79
Rachel Olson,24199.55
Todd Parker,43523.38
John Martinez,9267.6
Alexander Arellano,63338.52
Timothy Miller,75109.24
Ian Reed,87643.66
Janice Tran,54716.58
Alan Mitchell,5041.03
Douglas Wiley,86541.99
Matthew Hood,67419.21
Jennifer Ruiz,13020.93
Ronald Jones,4409.86
Amy Dennis,47930.64
Steven Jones,50658.53
Lisa Fox,5342.61
Daniel Harris,40878.98
Ronald Roberts,13855.48
Brandon Ford,70727.1
Jeremy Flowers III,78088.66
Brittany Dawson,70645.26
Victoria Hudson,71260.21
Benjamin Ward,45069.07
Samantha Bradley,70011.15
Matthew Huynh,64654.27
Christopher Keller,56936.91
Larry Walters,63527.72
Colin Harrington,67265.73
Joshua Mays,55210.63
Bobby Jackson,52869.79
Lisa Hernandez DDS,4495.59
William Griffin,31022.99
Margaret Mason,47974.22
Alexander May,19188.76
Adam Ware,85877.36
Emily Barber,44777.17
Joel Hall,42615.07
Jerome Diaz,38558.47
Zachary Guerrero,81776.56
David Mccoy,6305.34
Wanda Gray,13429.06
Shannon Butler,67115.38
Andrew Freeman,64456.94
Austin Smith,23177.12
Tiffany Stone,61009.78
Peter Gomez,98155.3
Kayla Wilson,8470.85
Robert Morgan,59813.06
Lisa Lutz,58735.32
Sean Mcmahon,74085.22
Jordan Murray,3970.74
Frederick Solis,43328.66
Natalie Williams,8379.96
Tracy Hayden,24954.63
Douglas Lutz,54260.23
